ccode1,ccode2,year,distance
255,910,1993,8513
255,920,1993,11283
255,935,1993,9687
255,940,1993,8930
255,950,1993,9936
255,983,1993,8127
255,987,1993,7846
255,990,1993,9759
290,2,1993,4462
290,200,1993,900
290,220,1993,850
290,255,1993,322
290,316,1993,320
290,317,1993,331
290,365,1993,715
290,368,1993,245
290,369,1993,430
290,370,1993,296
290,710,1993,4315
290,740,1993,5337
305,2,1993,4428
305,200,1993,766
305,220,1993,642
305,223,1993,326
305,225,1993,423
305,255,1993,326
305,310,1993,136
305,316,1993,155
305,317,1993,36
305,325,1993,474
305,349,1993,170
305,365,1993,1040
305,710,1993,4640
305,740,1993,5681
310,2,1993,4562
310,200,1993,903
310,220,1993,777
310,255,1993,429
310,305,1993,136
310,317,1993,102
310,344,1993,188
310,345,1993,197
310,349,1993,238
310,360,1993,398
310,365,1993,974
310,369,1993,557
310,710,1993,4562
310,740,1993,5627
316,2,1993,4291
316,200,1993,644
316,220,1993,551
316,255,1993,175
316,290,1993,320
316,305,1993,155
316,317,1993,180
316,365,1993,1036
316,710,1993,4634
316,740,1993,5642
317,2,1993,4461
317,200,1993,801
317,220,1993,678
317,255,1993,344
317,290,1993,331
317,305,1993,36
317,310,1993,102
317,316,1993,180
317,365,1993,1014
317,369,1993,624
317,710,1993,4612
317,740,1993,5659
325,2,1993,4487
325,200,1993,891
325,220,1993,688
325,225,1993,426
325,255,1993,735
325,305,1993,474
325,331,1993,138
325,349,1993,305
325,365,1993,1478
325,710,1993,5052
325,740,1993,6131
331,2,1993,4414
331,200,1993,783
331,220,1993,590
331,255,1993,598
331,325,1993,138
331,365,1993,1379
331,710,1993,4968
331,740,1993,6028
338,2,1993,4801
338,200,1993,1298
338,220,1993,1089
338,255,1993,1151
338,365,1993,1750
338,710,1993,5229
338,740,1993,6373
339,2,1993,4827
339,200,1993,1176
339,220,1993,996
339,255,1993,830
339,343,1993,95
339,345,1993,243
339,350,1993,312
339,365,1993,1280
339,710,1993,4773
339,740,1993,5903
343,2,1993,4869
343,200,1993,1207
343,220,1993,1038
343,255,1993,818
343,339,1993,95
343,345,1993,201
343,350,1993,303
343,355,1993,107
343,365,1993,1196
343,710,1993,4678
343,740,1993,5812
344,2,1993,4499
344,200,1993,833
344,220,1993,674
344,255,1993,479
344,310,1993,188
344,345,1993,228
344,346,1993,178
344,349,1993,74
344,365,1993,1161
344,710,1993,4749
344,740,1993,5813
345,2,1993,4719
345,200,1993,1051
345,220,1993,900
345,255,1993,622
345,310,1993,197
345,339,1993,243
345,343,1993,201
345,344,1993,228
345,346,1993,123
345,355,1993,205
345,360,1993,278
345,365,1993,1065
345,710,1993,4609
345,740,1993,5711
346,2,1993,4670
346,200,1993,1007
346,220,1993,839
346,255,1993,642
346,344,1993,178
346,345,1993,123
346,365,1993,1182
346,710,1993,4732
346,740,1993,5831
349,2,1993,4428
349,200,1993,763
349,220,1993,601
349,255,1993,449
349,305,1993,170
349,310,1993,238
349,325,1993,305
349,344,1993,74
349,365,1993,1201
349,710,1993,4795
349,740,1993,5848
350,2,1993,5132
350,200,1993,1487
350,220,1993,1305
350,255,1993,1122
350,339,1993,312
350,343,1993,303
350,355,1993,326
350,365,1993,1387
350,640,1993,509
350,710,1993,4735
350,740,1993,5914
352,2,1993,5667
352,200,1993,2001
352,220,1993,1836
352,255,1993,1549
352,365,1993,1438
352,640,1993,331
352,710,1993,4393
352,740,1993,5633
355,2,1993,4920
355,200,1993,1253
355,220,1993,1094
355,255,1993,821
355,343,1993,107
355,345,1993,205
355,350,1993,326
355,360,1993,185
355,365,1993,1106
355,640,1993,531
355,710,1993,4572
355,740,1993,5709
359,2,1993,4958
359,200,1993,1335
359,220,1993,1230
359,255,1993,788
359,360,1993,222
359,365,1993,712
359,369,1993,249
359,710,1993,4186
359,740,1993,5308
360,2,1993,4960
360,200,1993,1300
360,220,1993,1164
360,255,1993,806
360,310,1993,398
360,345,1993,278
360,355,1993,185
360,359,1993,222
360,365,1993,932
360,369,1993,463
360,710,1993,4390
360,740,1993,5525
365,2,1993,4863
365,20,1993,4453
365,31,1993,5687
365,40,1993,5956
365,41,1993,5904
365,42,1993,5823
365,51,1993,6089
365,52,1993,5967
365,53,1993,5754
365,54,1993,5696
365,55,1993,5895
365,56,1993,5755
365,57,1993,5813
365,58,1993,5608
365,60,1993,5630
365,70,1993,6667
365,80,1993,6517
365,90,1993,6731
365,91,1993,6663
365,92,1993,6749
365,93,1993,6752
365,94,1993,6816
365,95,1993,6720
365,100,1993,6786
365,101,1993,6178
365,110,1993,6060
365,115,1993,5999
365,130,1993,7229
365,135,1993,7865
365,140,1993,6952
365,145,1993,7775
365,150,1993,7854
365,155,1993,8789
365,160,1993,8391
365,165,1993,8313
365,200,1993,1555
365,205,1993,1738
365,210,1993,1335
365,211,1993,1403
365,212,1993,1373
365,220,1993,1547
365,221,1993,1566
365,223,1993,1337
365,225,1993,1424
365,230,1993,2140
365,232,1993,1844
365,235,1993,2429
365,255,1993,1002
365,290,1993,715
365,305,1993,1040
365,310,1993,974
365,316,1993,1036
365,317,1993,1014
365,325,1993,1478
365,331,1993,1379
365,338,1993,1750
365,339,1993,1280
365,343,1993,1196
365,344,1993,1161
365,345,1993,1065
365,346,1993,1182
365,349,1993,1201
365,350,1993,1387
365,352,1993,1438
365,355,1993,1106
365,359,1993,712
365,360,1993,932
365,366,1993,540
365,367,1993,524
365,368,1993,490
365,369,1993,471
365,370,1993,420
365,371,1993,1121
365,372,1993,1023
365,373,1993,1201
365,375,1993,556
365,380,1993,764
365,385,1993,1022
365,390,1993,970
365,395,1993,2058
365,402,1993,4262
365,403,1993,4205
365,404,1993,4151
365,411,1993,3937
365,420,1993,4092
365,432,1993,3845
365,433,1993,4052
365,434,1993,3910
